Date,DailyConfirmed,DailyDeceased,DailyRecovered,TotalConfirmed,TotalDeceased,TotalRecovered
2020-08-23,61749,846,56896,3105199,57704,2336789
2020-08-24,59696,854,66305,3164895,58558,2403094
2020-08-25,66873,1066,64151,3231768,59624,2467245
2020-08-26,75995,1017,56191,3307763,60641,2523436
2020-08-27,76827,1066,59620,3384590,61707,2583056
2020-08-28,76657,1019,64475,3461247,62726,2647531
2020-08-29,78479,943,64982,3539726,63669,2712513
2020-08-30,79461,960,60422,3619187,64629,2772935
2020-08-31,68766,816,64435,3687953,65445,2837370
2020-09-01,78168,892,62145,3766121,66337,2899515
2020-09-02,82860,913,67874,3848981,67250,2967389
2020-09-03,84156,979,67491,3933137,68229,3034880
2020-09-04,87115,950,69625,4020252,69179,3104505
2020-09-05,90600,916,73161,4110852,70095,3177666
2020-09-06,91725,1005,69630,4202577,71100,3247296
2020-09-07,75015,1129,74116,4277592,72229,3321412
2020-09-08,89855,1107,74608,4367447,73336,3396020
2020-09-09,95536,1168,73062,4462983,74504,3469082
2020-09-10,96762,1213,70904,4559745,75717,3539986
2020-09-11,97655,1202,81456,4657400,76919,3621442
2020-09-12,94414,1111,77862,4751814,78030,3699304
2020-09-13,93220,1140,77748,4845034,79170,3777052
2020-09-14,81913,1054,79213,4926947,80224,3856265
2020-09-15,91098,1281,82849,5018045,81505,3939114
2020-09-16,97860,1140,82924,5115905,82645,4022038
2020-09-17,96787,1175,87788,5212692,83820,4109826
2020-09-18,92973,1221,95515,5305665,85041,4205341
2020-09-19,92574,1149,94389,5398239,86190,4299730
2020-09-20,87395,1135,92926,5485634,87325,4392656
2020-09-21,74493,1056,102070,5560127,88381,4494726
2020-09-22,83362,1085,89657,5643489,89466,4584383
2020-09-23,86703,1123,87459,5730192,90589,4671842
2020-09-24,85921,1144,81142,5816113,91733,4752984
2020-09-25,85717,1093,93331,5901830,92826,4846315
2020-09-26,88759,1124,92365,5990589,93950,4938680
2020-09-27,82770,1040,74691,6073359,94990,5013371
2020-09-28,69669,775,85198,6143028,95765,5098569
2020-09-29,80500,1178,86150,6223528,96943,5184719
2020-09-30,86748,1179,85274,6310276,98122,5269993
2020-10-01,81784,1099,78731,6392060,99221,5348724
2020-10-02,79883,1068,76339,6471943,100289,5425063
2020-10-03,75479,937,81655,6547422,101226,5506718
2020-10-04,74770,903,76713,6622192,102129,5583431
2020-10-05,60130,886,75855,6682322,103015,5659286
2020-10-06,71869,990,81945,6754191,104005,5741231
2020-10-07,78809,963,83209,6833000,104968,5824440
2020-10-08,70797,967,78745,6903797,105935,5903185
2020-10-09,73305,929,82628,6977102,106864,5985813
2020-10-10,74418,921,89024,7051520,107785,6074837
2020-10-11,67789,813,71565,7119309,108598,6146402
2020-10-12,54262,710,78365,7173571,109308,6224767
2020-10-13,63717,727,74079,7237288,110035,6298846
2020-10-14,67811,690,81582,7305099,110725,6380428
2020-10-15,63441,882,70792,7368540,111607,6451220
2020-10-16,62304,840,70568,7430844,112447,6521788
2020-10-17,61893,1032,72583,7492737,113479,6594371
2020-10-18,56519,582,66418,7549256,114061,6660789
2020-10-19,45506,589,69800,7594762,114650,6730589
2020-10-20,54348,714,61828,7649110,115364,6792417
2020-10-21,56264,701,79561,7705374,116065,6871978
2020-10-22,54371,686,74569,7759745,116751,6946547
2020-10-23,53931,655,66994,7813676,117406,7013541
2020-10-24,50366,578,62270,7864042,117984,7075811
2020-10-25,45922,483,59304,7909964,118467,7135115
2020-10-26,36019,485,63734,7945983,118952,7198849
2020-10-27,43036,511,58429,7989019,119463,7257278
2020-10-28,50188,515,56594,8039207,119978,7313872
2020-10-29,48765,562,57867,8087972,120540,7371739
2020-10-30,48117,550,59005,8136089,121090,7430744
2020-10-31,47228,469,58682,8183317,121559,7489426
2020-11-01,45928,491,53312,8229245,122050,7542738
2020-11-02,37592,498,58524,8266837,122548,7601262
2020-11-03,46027,510,53328,8312864,123058,7654590
2020-11-04,50465,707,55873,8363329,123765,7710463
2020-11-05,47628,672,54133,8410957,124437,7764596
2020-11-06,50017,577,53946,8460974,125014,7818542
2020-11-07,46153,557,48582,8507127,125571,7867124
2020-11-08,46707,491,48465,8553834,126062,7915589
2020-11-09,37119,450,41449,8590953,126512,7957038
2020-11-10,44724,511,54639,8635677,127023,8011677
2020-11-11,48285,550,52704,8683962,127573,8064381
2020-11-12,44585,544,49354,8728547,128117,8113735
2020-11-13,44620,517,47620,8773167,128634,8161355
2020-11-14,41692,450,42317,8814859,129084,8203672
2020-11-15,30681,434,44111,8845540,129518,8247783
2020-11-16,28609,451,40392,8874149,129969,8288175
2020-11-17,38548,472,44753,8912697,130441,8332928
2020-11-18,45366,586,48675,8958063,131027,8381603
2020-11-19,46185,582,45246,9004248,131609,8426849
2020-11-20,46283,564,48968,9050531,132173,8475817
2020-11-21,45301,499,44055,9095832,132672,8519872
2020-11-22,44404,510,41405,9140236,133182,8561277
2020-11-23,37441,481,42195,9177677,133663,8603472
2020-11-24,44245,489,37765,9221922,134152,8641237
2020-11-25,44699,518,36582,9266621,134670,8677819
2020-11-26,43174,491,39723,9309795,135161,8717542
2020-11-27,41353,486,41177,9351148,135647,8758719
2020-11-28,41815,495,42275,9392963,136142,8800994
2020-11-29,39036,444,45152,9431999,136586,8846146
2020-11-30,31179,482,42282,9463178,137068,8888428
2020-12-01,36474,501,43208,9499652,137569,8931636
2020-12-02,35506,526,40908,9535158,138095,8972544
2020-12-03,36574,541,42991,9571732,138636,9015535
2020-12-04,36711,511,42359,9608443,139147,9057894
2020-12-05,36010,482,41885,9644453,139629,9099779
2020-12-06,33178,390,39078,9677631,140019,9138857
2020-12-07,26227,386,39293,9703858,140405,9178150
2020-12-08,32083,402,36583,9735941,140807,9214733
2020-12-09,31637,413,37693,9767578,141220,9252426
2020-12-10,29411,411,37707,9796989,141631,9290133
2020-12-11,29961,442,33492,9826950,142073,9323625
2020-12-12,30354,391,33087,9857304,142464,9356712
2020-12-13,27336,338,30640,9884640,142802,9387352
2020-12-14,21941,354,34421,9906581,143156,9421773
2020-12-15,26251,384,33853,9932832,143540,9455626
2020-12-16,18172,356,33360,9951004,143896,9488986
2020-12-17,26754,342,30891,9977758,144238,9519877
2020-12-18,26991,342,29879,10004749,144580,9549756
2020-12-19,26834,342,29758,10031583,144922,9579514
2020-12-20,24622,332,25734,10056205,145254,9605248
2020-12-21,19147,302,30250,10075352,145556,9635498
2020-12-22,23880,329,27032,10099232,145885,9662530
2020-12-23,24716,315,29946,10123948,146200,9692476
2020-12-24,23444,337,24555,10147392,146537,9717031
2020-12-25,22349,251,22184,10169741,146788,9739215
2020-12-26,18575,280,21466,10188316,147068,9760681
2020-12-27,20333,281,21097,10208649,147349,9781778
2020-12-28,16072,250,24822,10224721,147599,9806600
2020-12-29,20542,285,26589,10245263,147884,9833189
2020-12-30,21945,299,26407,10267208,148183,9859596
2020-12-31,19026,244,21969,10286234,148427,9881565
2021-01-01,20159,237,23838,10306393,148664,9905403
2021-01-02,18144,216,20903,10324537,148880,9926306
2021-01-03,16678,215,19658,10341215,149095,9945964
2021-01-04,16278,200,29209,10357493,149295,9975173
2021-01-05,17909,265,21161,10375402,149560,9996334
2021-01-06,20472,222,19689,10395874,149782,10016023
2021-01-07,18123,233,20503,10413997,150015,10036526
2021-01-08,18453,229,19242,10432450,150244,10055768
2021-01-09,18820,213,19460,10451270,150457,10075228
2021-01-10,16086,150,16737,10467356,150607,10091965
2021-01-11,12481,166,18578,10479837,150773,10110543
2021-01-12,15903,200,17727,10495740,150973,10128270
2021-01-13,17015,201,17797,10512755,151174,10146067
